id,y,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17
1,3,-0.043478300000000004,0.153846,0.194444,-0.35371199999999997,-0.450549,-0.698113,-0.346405,-0.08571430000000001,-0.5,0.171429,-0.515789,-0.532374,-0.0566038,-0.710526,-0.454545,-0.21951199999999998,-0.266667,0.0666667
3,1,0.347826,0.307692,0.833333,-0.0829694,-0.582418,-0.698113,0.24183000000000002,-0.657143,0.0,0.14285699999999998,-0.021052599999999998,0.0815348,0.396226,-0.631579,0.272727,-0.560976,-0.2,0.0
7,2,0.043478300000000004,-0.230769,-0.08333330000000001,-0.39738,-0.604396,-0.849057,-0.464052,-0.08571430000000001,-0.666667,-0.28571399999999997,-0.515789,-0.5755399999999999,-0.20754699999999998,-0.815789,0.181818,-0.9512200000000001,0.6,0.533333
8,3,-0.26087,-0.230769,-0.277778,-0.537118,-0.604396,-0.735849,-0.673203,0.257143,-0.833333,-0.2,-0.663158,-0.767386,-0.308176,-0.789474,-0.727273,-0.8536590000000001,0.13333299999999998,0.4
9,3,-0.434783,-0.923077,-0.388889,-0.6855899999999999,-0.692308,-0.811321,-0.869281,0.6,-1.0,-0.742857,-0.8842110000000001,-0.906475,-0.9622639999999999,-0.8684209999999999,-0.818182,-0.317073,0.6,0.8
11,3,-0.434783,-0.769231,-0.166667,-0.659389,-0.692308,-0.735849,-0.72549,0.371429,-0.833333,-0.657143,-0.757895,-0.803357,-0.7735850000000001,-0.815789,-0.818182,-0.512195,0.2,0.4
12,1,-0.26087,-0.923077,-0.277778,-0.7205239999999999,-0.824176,-0.849057,-0.856209,0.6,-1.0,-1.0,-0.810526,-0.904077,-0.886792,-0.8421049999999999,-0.545455,0.268293,0.333333,0.4
13,2,-0.347826,0.0,-0.055555600000000004,-0.414847,-0.538462,-0.849057,-0.477124,-0.0285714,-0.666667,-0.14285699999999998,-0.473684,-0.604317,0.044025199999999994,-0.684211,-0.545455,-0.46341499999999997,-0.13333299999999998,-0.0666667
15,2,-0.0869565,0.230769,0.08333330000000001,-0.135371,-0.47252700000000003,-0.886792,-0.18954200000000002,-0.371429,-0.333333,0.0285714,-0.305263,-0.326139,0.22012600000000002,-0.684211,-0.454545,-0.902439,0.4,0.2
16,0,0.0,0.692308,0.75,-0.152838,-0.604396,-0.735849,0.20261400000000002,-0.657143,0.0,0.371429,0.021052599999999998,0.055155899999999994,0.72327,-0.605263,-0.454545,-0.902439,-0.333333,-0.13333299999999998
20,0,0.21739099999999997,0.769231,0.666667,-0.030567700000000003,-0.516484,-0.698113,0.254902,-0.657143,0.166667,0.457143,0.021052599999999998,0.119904,0.433962,-0.605263,-0.454545,-0.7560979999999999,-0.333333,-0.2
22,3,-0.5217390000000001,-0.692308,-0.638889,-0.8515280000000001,-0.736264,-0.886792,-0.856209,0.657143,-1.0,-0.8,-0.8842110000000001,-0.9112709999999999,-0.698113,-0.394737,-0.363636,-0.9512200000000001,-0.8,-0.866667
23,2,-0.0869565,-0.230769,-0.333333,-0.39738,-0.516484,-0.811321,-0.503268,-0.0285714,-0.666667,-0.314286,-0.5894739999999999,-0.6163069999999999,-0.144654,-0.763158,-0.181818,-0.9512200000000001,0.533333,0.666667
28,1,0.478261,0.6153850000000001,0.611111,-0.135371,-0.604396,-0.660377,0.385621,-0.714286,0.333333,0.4,0.042105300000000005,0.227818,0.345912,-0.657895,-0.909091,0.365854,-0.266667,0.2
29,2,0.26087,-0.07692310000000001,0.25,-0.22270700000000002,-0.626374,-0.849057,0.045751599999999996,-0.6,-0.166667,-0.2,-0.08421050000000001,-0.0743405,-0.320755,-0.552632,-0.454545,-0.658537,0.266667,-0.2
30,1,-0.695652,-0.6153850000000001,-0.361111,-0.781659,-0.824176,-0.811321,-0.555556,0.14285699999999998,-0.666667,-0.657143,-0.6,-0.688249,-0.383648,-0.368421,-0.181818,-0.0243902,-0.733333,-0.733333
31,3,-0.304348,-0.230769,0.25,-0.510917,-0.626374,-0.660377,-0.437908,-0.0285714,-0.666667,-0.057142899999999996,-0.5473680000000001,-0.58753,-0.18239,-0.657895,-0.545455,-0.560976,-0.4,0.0
32,1,-0.347826,-0.307692,0.027777800000000002,-0.5895199999999999,-0.758242,-0.7735850000000001,-0.633987,0.2,-0.833333,-0.314286,-0.631579,-0.738609,-0.383648,-0.8684209999999999,-0.0909091,-0.46341499999999997,0.466667,0.6
33,0,-0.130435,-0.8461540000000001,-0.277778,-0.563319,-0.736264,-0.849057,-0.607843,0.14285699999999998,-0.833333,-0.714286,-0.663158,-0.71223,-0.861635,-0.8684209999999999,-0.545455,-0.365854,0.4,0.4
35,0,-0.391304,-0.6153850000000001,0.25,-0.36244499999999996,-0.692308,-0.7735850000000001,-0.320261,-0.2,-0.5,-0.685714,-0.410526,-0.47721800000000003,-0.735849,-0.8947370000000001,-0.909091,0.21951199999999998,0.466667,0.6
36,3,0.173913,0.0,0.388889,-0.406114,-0.5604399999999999,-0.735849,-0.41176499999999994,-0.0285714,-0.5,-0.08571430000000001,-0.578947,-0.570743,-0.0566038,-0.789474,0.545455,-0.658537,0.0666667,0.266667
37,2,-0.608696,-0.153846,-0.11111099999999999,-0.8777290000000001,-0.8901100000000001,-0.811321,-0.477124,0.0285714,-0.666667,-0.171429,-0.536842,-0.625899,-0.144654,-0.394737,-0.818182,-0.902439,-0.733333,-0.733333
