id,y,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22
26283,0,0.253137,1.111959,1.092793,1.149919,1.221699,1.3573,0.862209,-0.039158,-0.038591,-0.046498000000000005,-0.050178,-0.117711,-0.118495,2.254534,0.810161,0.185828,-1.057295,0.489762,0.014861,0.111736,0.13886500000000002,0.188746,0.234917
15251,0,0.253137,-0.267202,-0.266297,-0.227492,-0.462477,-0.436383,-0.416465,-0.241416,-0.184248,-0.227339,-0.276593,-0.280689,-0.264469,-1.059646,0.810161,0.185828,-1.057295,1.032193,1.794564,0.111736,0.13886500000000002,0.188746,0.234917
17602,0,0.253137,0.311167,0.321373,0.345991,0.407373,0.413062,0.427807,-0.14874,-0.11376300000000003,-0.131523,-0.154864,-0.160975,-0.158377,-0.5201279999999999,0.810161,0.185828,-1.057295,-0.378129,0.014861,0.111736,0.13886500000000002,0.188746,0.234917
28231,0,-1.486041,-0.695642,-0.690983,-0.663797,-0.672497,-0.6630590000000001,-0.652724,-0.341942,-0.214456,-0.29680100000000004,-0.30806300000000003,-0.314136,-0.279994,0.327685,0.810161,0.185828,0.858557,-0.378129,-1.764843,-1.558876,-1.532192,-1.521944,-1.530046
15528,0,0.253137,1.290163,1.40658,1.526684,1.756675,1.965398,2.077108,-0.009876,0.003422,0.043979,0.074935,0.078584,0.044129,0.173537,-1.234323,0.185828,0.858557,0.381275,0.014861,0.111736,0.13886500000000002,0.188746,0.234917
18551,1,-1.486041,-0.656245,-0.690983,-0.677929,-0.672497,-0.6630590000000001,-0.652724,-0.341942,-0.25699,-0.29680100000000004,-0.30806300000000003,-0.314136,-0.29338200000000003,-0.134759,0.810161,-1.079457,0.858557,-1.24602,-1.764843,-1.558876,-1.532192,-1.521944,-1.530046
15851,1,1.992316,0.009774,0.022775,0.071434,0.117066,0.190795,0.203251,-0.341942,-0.076611,-0.29680100000000004,-0.046348,-0.314136,-0.180878,-0.905498,0.810161,-1.079457,0.858557,-0.812074,0.904712,1.782348,1.809921,1.899436,1.999879
5199,0,0.253137,-0.4668229999999999,-0.428439,-0.405723,-0.373236,-0.343713,-0.317662,-0.214187,-0.222268,-0.258066,-0.263316,-0.257977,-0.271219,-1.1367200000000002,-1.234323,0.185828,-1.057295,1.683111,0.014861,0.111736,1.809921,0.188746,0.234917
11761,0,-1.486041,-0.7022689999999999,-0.69784,-0.684966,-0.680083,-0.671085,-0.6609189999999999,-0.341942,-0.25699,-0.29680100000000004,-0.30806300000000003,-0.314136,-0.29338200000000003,-0.211833,-1.234323,-1.079457,-1.057295,-0.920561,0.904712,-1.558876,-1.532192,-1.521944,-1.530046
21114,0,-1.486041,-0.653895,-0.952573,-0.813693,-0.8188479999999999,-0.81792,-0.810818,0.213694,-0.25699,-0.29680100000000004,-0.30806300000000003,-0.314136,0.156633,1.637943,-1.234323,0.185828,-1.057295,0.381275,-1.764843,-1.558876,-1.532192,-1.521944,-1.530046
12207,0,2.861905,-0.440178,-0.434916,-0.351605,-0.33070700000000003,-0.316704,-0.226013,-0.341942,-0.03998,-0.29680100000000004,-0.30806300000000003,0.013131,-0.29338200000000003,-1.059646,-1.234323,0.185828,-1.057295,0.055816,0.904712,2.617654,1.809921,4.46547,3.764842
11073,1,2.861905,0.075585,0.127815,0.188741,0.282287,0.524467,0.539539,-0.19704,-0.12678399999999998,-0.15481,0.430867,-0.311583,-0.291244,-0.674276,-1.234323,0.185828,0.858557,-0.920561,1.794564,0.111736,0.13886500000000002,0.188746,0.234917
23752,1,0.253137,-0.367875,-0.361446,-0.292122,-0.267938,-0.213852,-0.153523,-0.341942,-0.08338200000000001,-0.29680100000000004,-0.180397,-0.117776,-0.29338200000000003,-0.905498,0.810161,1.451114,-1.057295,2.442516,0.904712,1.782348,1.809921,1.899436,0.234917
21713,0,0.253137,-0.011915,0.07460599999999999,0.16711099999999998,0.291272,0.411582,0.507534,-0.040064,-0.03998,-0.012818,0.011102,0.013131,-0.14110799999999998,-0.443054,0.810161,-1.079457,0.858557,-1.354506,0.014861,0.111736,0.13886500000000002,0.188746,0.234917
19369,0,-0.616452,-0.487873,-0.492705,-0.5161220000000001,-0.5068560000000001,-0.532656,-0.642985,-0.228255,-0.10421500000000003,-0.29680100000000004,-0.24423000000000006,-0.276173,-0.29338200000000003,-1.1367200000000002,0.810161,0.185828,-1.057295,0.381275,0.014861,0.111736,1.809921,1.899436,0.234917
21844,1,0.253137,0.251766,0.277283,0.320684,0.422063,0.475369,0.531328,-0.194022,-0.144145,-0.14345,-0.14848,-0.130867,-0.152752,-0.75135,0.810161,0.185828,-1.057295,-0.920561,0.014861,0.111736,0.13886500000000002,0.188746,0.234917
14939,0,0.253137,1.808669,1.846173,1.850586,1.496337,1.625837,1.291507,0.033896,-0.004912,-0.051894,-0.025474,-0.018025,-0.05358,1.098425,0.810161,0.185828,0.858557,-0.05267,0.014861,0.111736,0.13886500000000002,0.188746,0.234917
25102,0,0.253137,1.336554,1.362869,1.251623,1.233341,1.108863,-0.632574,0.020312,-0.089589,0.384759,0.968596,-0.314136,0.522271,-0.134759,-1.234323,-1.079457,-1.057295,1.683111,0.014861,0.111736,0.13886500000000002,0.188746,0.234917
6545,0,0.253137,0.514658,1.997257,0.661904,0.14111300000000002,0.187966,0.272148,6.02671,-0.061680999999999986,-0.183208,-0.174013,-0.026141,-0.128339,1.483795,-1.234323,1.451114,-1.057295,-0.378129,0.014861,0.111736,0.13886500000000002,0.188746,0.234917
2218,1,0.253137,-0.088088,-0.13473,-0.10896,-0.065099,-0.016521,0.011624,-0.214972,-0.169969,-0.182867,-0.116181,-0.117121,-0.180147,-0.443054,-1.234323,0.185828,0.858557,-1.24602,0.014861,0.111736,0.13886500000000002,0.188746,0.234917
27009,0,0.253137,0.099337,0.171132,0.16055,0.250825,-0.042197000000000005,-0.018097,0.020312,-0.25699,-0.15481,-0.224058,-0.222436,-0.124626,-0.8284239999999999,-1.234323,0.185828,0.858557,0.381275,0.014861,0.111736,1.809921,0.188746,0.234917
9510,0,0.253137,0.165923,-0.282245,-0.248184,-0.200025,-0.152599,-0.12096400000000003,-0.23393000000000005,-0.191887,-0.23495,-0.235931,-0.238865,-0.22588000000000005,-0.75135,-1.234323,0.185828,0.858557,-0.486615,0.014861,0.111736,0.13886500000000002,0.188746,0.234917
13243,0,0.253137,0.53272,0.469309,0.5002270000000001,0.361144,-0.07091599999999999,-0.230127,-0.12459,-0.12678399999999998,-0.029289,-0.212313,-0.248683,-0.23713,0.019389,0.810161,-1.079457,0.858557,-0.703588,0.014861,0.111736,0.13886500000000002,0.188746,0.234917
20946,0,-0.616452,-0.59907,-0.608171,-0.567327,-0.354769,-0.592988,-0.395676,0.020312,0.076337,0.864123,-0.036134,0.687824,0.100381,-0.365981,-1.234323,0.185828,0.858557,-0.378129,-0.874991,-0.7235699999999999,-0.696663,-0.6665989999999999,-0.647565
24035,1,1.992316,-0.596151,-0.591788,-0.5591079999999999,-0.523551,-0.510434,-0.485294,-0.341942,-0.200741,-0.203768,-0.30806300000000003,-0.258893,-0.29338200000000003,-1.1367200000000002,-1.234323,0.185828,0.858557,-0.920561,0.904712,1.782348,0.13886500000000002,0.188746,1.999879
23782,1,0.253137,-0.479887,-0.453603,-0.412904,-0.376842,-0.356789,-0.333681,-0.264963,-0.180646,-0.217286,-0.30806300000000003,-0.289264,-0.29338200000000003,-1.1367200000000002,0.810161,1.451114,-1.057295,1.574625,1.794564,0.111736,0.13886500000000002,0.188746,0.234917
28046,0,0.253137,-0.033155000000000004,-0.020669,0.04085,0.093889,-0.174179,-0.15528599999999998,-0.215153,-0.100743,-0.17491600000000002,-0.243974,-0.242137,-0.220592,-0.905498,0.810161,-1.079457,0.858557,-0.812074,0.014861,0.111736,0.13886500000000002,0.188746,0.234917
23531,0,0.253137,0.098115,0.154595,0.290416,0.323573,0.391614,0.376525,-0.040064,0.177029,-0.003219,-0.159843,0.02452,-0.29338200000000003,2.56283,0.810161,0.185828,-1.057295,0.164303,0.014861,0.111736,0.13886500000000002,0.188746,0.234917
3570,0,0.253137,1.016623,1.103725,1.127525,1.088747,1.223032,1.196684,0.033353,-0.06727999999999999,-0.067513,0.114065,-0.048723,-0.092281,0.25061100000000003,0.810161,-1.079457,0.858557,0.381275,0.014861,0.111736,0.13886500000000002,0.188746,0.234917
17607,0,0.253137,-0.159142,-0.079835,0.035125,0.221307,-0.5849449999999999,-0.489022,-0.040064,0.046824,0.271165,-0.00492,0.013131,0.269137,-0.8284239999999999,0.810161,-1.079457,0.858557,-0.161156,0.014861,0.111736,0.13886500000000002,0.188746,-0.647565
